_group,_name,_thesaurus,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required,_type
Record-level,type,http://rs.gbif.org/vocabulary/dcterms/type.xml,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/type,https://dwc.tdwg.org/terms/#dc:type,The nature or genre of the resource.,Must be populated with a value from the DCMI type vocabulary (http://dublincore.org/documents/2010/10/11/dcmi-type-vocabulary/).,`StillImage`; `MovingImage`; `Sound`; `PhysicalObject`; `Event`; `Text`,false,
Record-level,modified,,http://purl.org/dc/terms/,http://purl.org/dc/terms/modified,https://dwc.tdwg.org/terms/#dcterms:modified,The most recent date-time on which the resource was changed.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),false,date
Record-level,language,,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/language,https://dwc.tdwg.org/terms/#dc:language,A language of the resource.,Recommended best practice is to use a controlled vocabulary such as RFC 5646.,`en` (for English); `es` (for Spanish),false,
Record-level,license,,http://purl.org/dc/terms/,http://purl.org/dc/terms/license,https://dwc.tdwg.org/terms/#dcterms:license,A legal document giving official permission to do something with the resource.,,`http://creativecommons.org/publicdomain/zero/1.0/legalcode`; `http://creativecommons.org/licenses/by/4.0/legalcode`,false,
Record-level,rightsHolder,,http://purl.org/dc/terms/,http://purl.org/dc/terms/rightsHolder,https://dwc.tdwg.org/terms/#dcterms:rightsHolder,A person or organization owning or managing rights over the resource.,,`The Regents of the University of California`,false,
Record-level,accessRights,,http://purl.org/dc/terms/,http://purl.org/dc/terms/accessRights,https://dwc.tdwg.org/terms/#dcterms:accessRights,Information about who can access the resource or an indication of its security status.,"Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.",`not-for-profit use only` (string literal example); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (URI example),false,
Record-level,bibliographicCitation,,http://purl.org/dc/terms/,http://purl.org/dc/terms/bibliographicCitation,https://dwc.tdwg.org/terms/#dcterms:bibliographicCitation,A bibliographic reference for the resource.,"From Dublin Core, ""Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible."" The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself - ""how to cite this record"". Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource - ""where to find the as-close-to-original reference, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",false,
Record-level,references,,http://purl.org/dc/terms/,http://purl.org/dc/terms/references,https://dwc.tdwg.org/terms/#dcterms:references,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.","From Dublin Core, ""This property is intended to be used with non-literal values. This property is an inverse property of Is Referenced By."" The intended usage of this term in Darwin Core is to point to the definitive source representation of the resource (e.g.,Taxon, Occurrence, Event in Darwin Core), if one is available. Note that the intended usage of dcterms:bibliographicCitation in Darwin Core, by contrast, is to provide the preferred way to cite the resource itself.",`http://arctos.database.museum/guid/MVZ:Mamm:165861` (MaterialEntity example); `https://www.catalogueoflife.org/data/taxon/32664` (Taxon example),false,uri
Record-level,institutionID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/institutionID,https://dwc.tdwg.org/terms/#dwc:institutionID,An identifier for the institution having custody of the object(s) or information referred to in the record.,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the Global Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`,false,
Record-level,datasetID,,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,https://dwc.tdwg.org/terms/#dwc:datasetID,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,,`b15d4952-7d20-46f1-8a3e-556a512b04c5`,false,
